Name,Cost,Type,Effect
Kraul Foragers,{4}{G},Creature â€” Insect Scout,"Undergrowth â€” When Kraul Foragers enters the battlefield, you gain 1 life for each creature card in your graveyard."
Kraul Harpooner,{1}{G},Creature â€” Insect Warrior,"Reach Undergrowth â€” When Kraul Harpooner enters the battlefield, choose up to one target creature with flying you don't control. Kraul Harpooner gets +X/+0 until end of turn, where X is the number of creature cards in your graveyard, then you may have Kraul Harpooner fight that creature."
Kraul Raider,{2}{B},Creature â€” Insect Warrior,Menace (This creature can't be blocked except by two or more creatures.)
Kraul Stinger,{2}{G},Creature â€” Insect Assassin,Deathtouch
Kraul Swarm,{4}{B},Creature â€” Insect Warrior,"Flying {2}{B}, Discard a creature card: Return Kraul Swarm from your graveyard to your hand."
"Krenko, Tin Street Kingpin",{2}{R},Legendary Creature â€” Goblin,"Whenever Krenko, Tin Street Kingpin attacks, put a +1/+1 counter on it, then create a number of 1/1 red Goblin creature tokens equal to Krenko's power."
Kronch Wrangler,{1}{G},Creature â€” Human Warrior,"Trample Whenever a creature with power 4 or greater enters the battlefield under your control, put a +1/+1 counter on Kronch Wrangler."
"Kykar, Wind's Fury",{1}{U}{R}{W},Legendary Creature â€” Bird Wizard,"Flying Whenever you cast a noncreature spell, create a 1/1 white Spirit creature token with flying. Sacrifice a Spirit: Add {R}."
Lash of Thorns,{B},Instant,Target creature gets +2/+1 and gains deathtouch until end of turn.
Lava Coil,{1}{R},Sorcery,"Lava Coil deals 4 damage to target creature. If that creature would die this turn, exile it instead."
Lavakin Brawler,{3}{R},Creature â€” Elemental Warrior,"Whenever Lavakin Brawler attacks, it gets +1/+0 until end of turn for each Elemental you control."
"Lavinia, Azorius Renegade",{W}{U},Legendary Creature â€” Human Soldier,"Each opponent can't cast noncreature spells with converted mana cost greater than the number of lands that player controls. Whenever an opponent casts a spell, if no mana was spent to cast it, counter that spell."
Law-Rune Enforcer,{W},Creature â€” Human Soldier,"{1}, {T}: Tap target creature with converted mana cost 2 or greater."
Lawmage's Binding,{1}{W}{U},Enchantment â€” Aura,"Flash Enchant creature Enchanted creature can't attack or block, and its activated abilities can't be activated."
"Lazav, the Multifarious",{U}{B},Legendary Creature â€” Shapeshifter,"When Lazav, the Multifarious enters the battlefield, surveil 1. (Look at the top card of your library. You may put that card into your graveyard.) {X}: Lazav, the Multifarious becomes a copy of target creature card in your graveyard with converted mana cost X, except its name is Lazav, the Multifarious, it's legendary in addition to its other types, and it has this ability."
Lazotep Behemoth,{4}{B},Creature â€” Zombie Hippo,nan
Lazotep Plating,{1}{U},Instant,"Amass 1. (Put a +1/+1 counter on an Army you control. If you don't control one, create a 0/0 black Zombie Army creature token first.) You and permanents you control gain hexproof until end of turn. (You and they can't be the targets of spells or abilities your opponents control.)"
Lazotep Reaver,{1}{B},Creature â€” Zombie Beast,"When Lazotep Reaver enters the battlefield, amass 1. (Put a +1/+1 counter on an Army you control. If you don't control one, create a 0/0 black Zombie Army creature token first.)"
Leafkin Druid,{1}{G},Creature â€” Elemental Druid,"{T}: Add {G}. If you control four or more creatures, add {G}{G} instead."
League Guildmage,{U}{R},Creature â€” Human Wizard,"{3}{U}, {T}: Draw a card. {X}{R}, {T}: Copy target instant or sorcery spell you control with converted mana cost X. You may choose new targets for the copy."
Leapfrog,{2}{U},Creature â€” Frog,Leapfrog has flying as long as you've cast an instant or sorcery spell this turn.
Ledev Champion,{1}{G}{W},Creature â€” Elf Knight,"Whenever Ledev Champion attacks, you may tap any number of untapped creatures you control. Ledev Champion gets +1/+1 until end of turn for each creature tapped this way. {3}{G}{W}: Create a 1/1 white Soldier creature token with lifelink."
Ledev Guardian,{3}{W},Creature â€” Human Knight,Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of the creature's color.)
Legion Guildmage,{R}{W},Creature â€” Human Wizard,"{5}{R}, {T}: Legion Guildmage deals 3 damage to each opponent. {2}{W}, {T}: Tap another target creature."
Legion Warboss,{2}{R},Creature â€” Goblin Soldier,"Mentor (Whenever this creature attacks, put a +1/+1 counter on target attacking creature with lesser power.) At the beginning of combat on your turn, create a 1/1 red Goblin creature token. That token gains haste until end of turn and attacks this combat if able."
Legion's End,{1}{B},Sorcery,Exile target creature an opponent controls with converted mana cost 2 or less and all other creatures that player controls with the same name as that creature. Then that player reveals their hand and exiles all cards with that name from their hand and graveyard.
Leyline Prowler,{1}{B}{G},Creature â€” Nightmare Beast,"Deathtouch, lifelink {T}: Add one mana of any color."
Leyline of Abundance,{2}{G}{G},Enchantment,"If Leyline of Abundance is in your opening hand, you may begin the game with it on the battlefield. Whenever you tap a creature for mana, add an additional {G}. {6}{G}{G}: Put a +1/+1 counter on each creature you control."
Leyline of Anticipation,{2}{U}{U},Enchantment,"If Leyline of Anticipation is in your opening hand, you may begin the game with it on the battlefield. You may cast spells as though they had flash."
Leyline of Combustion,{2}{R}{R},Enchantment,"If Leyline of Combustion is in your opening hand, you may begin the game with it on the battlefield. Whenever you and/or at least one permanent you control becomes the target of a spell or ability an opponent controls, Leyline of Combustion deals 2 damage to that player."
Leyline of Sanctity,{2}{W}{W},Enchantment,"If Leyline of Sanctity is in your opening hand, you may begin the game with it on the battlefield. You have hexproof. (You can't be the target of spells or abilities your opponents control.)"
Leyline of the Void,{2}{B}{B},Enchantment,"If Leyline of the Void is in your opening hand, you may begin the game with it on the battlefield. If a card would be put into an opponent's graveyard from anywhere, exile it instead."
Light Up the Stage,{2}{R},Sorcery,"Spectacle {R} (You may cast this spell for its spectacle cost rather than its mana cost if an opponent lost life this turn.) Exile the top two cards of your library. Until the end of your next turn, you may play those cards."
Light of the Legion,{4}{W}{W},Creature â€” Angel,"Flying Mentor (Whenever this creature attacks, put a +1/+1 counter on target attacking creature with lesser power.) When Light of the Legion dies, put a +1/+1 counter on each white creature you control."
Lightning Stormkin,{U}{R},Creature â€” Elemental Wizard,Flying Haste (This creature can attack and {T} as soon as it comes under your control.)
Liliana's Triumph,{1}{B},Instant,"Each opponent sacrifices a creature. If you control a Liliana planeswalker, each opponent also discards a card."
"Liliana, Dreadhorde General",{4}{B}{B},Legendary Planeswalker â€” Liliana,"Whenever a creature you control dies, draw a card. [+1]: Create a 2/2 black Zombie creature token. [âˆ’4]: Each player sacrifices two creatures. [âˆ’9]: Each opponent chooses a permanent they control of each permanent type and sacrifices the rest."
"Linden, the Steadfast Queen",{W}{W}{W},Legendary Creature â€” Human Noble,"Vigilance Whenever a white creature you control attacks, you gain 1 life."
Living Twister,{R}{R}{G},Creature â€” Elemental,"{1}{R}, Discard a land card: Living Twister deals 2 damage to any target. {G}: Return a tapped land you control to its owner's hand."
Loaming Shaman,{2}{G},Creature â€” Centaur Shaman,"When Loaming Shaman enters the battlefield, target player shuffles any number of target cards from their graveyard into their library."
Loch Dragon,{U/R}{U/R}{U/R}{U/R},Creature â€” Dragon,"Flying Whenever Loch Dragon enters the battlefield or attacks, you may discard a card. If you do, draw a card."
Lochmere Serpent,{4}{U}{B},Creature â€” Serpent,"Flash {U}, Sacrifice an Island: Lochmere Serpent can't be blocked this turn. {B}, Sacrifice a Swamp: You gain 1 life and draw a card. {U}{B}: Exile five target cards from an opponent's graveyard. Return Lochmere Serpent from your graveyard to your hand. Activate this ability only any time you could cast a sorcery."
Locthwain Gargoyle,{1},Artifact Creature â€” Gargoyle,{4}: Locthwain Gargoyle gets +2/+0 and gains flying until end of turn.
Locthwain Paladin,{3}{B},Creature â€” Human Knight,"Menace (This creature can't be blocked except by two or more creatures.) Adamant â€” If at least three black mana was spent to cast this spell, Locthwain Paladin enters the battlefield with a +1/+1 counter on it."
Lonesome Unicorn,{4}{W},Creature â€” Unicorn,Vigilance
Lost Legion,{1}{B}{B},Creature â€” Spirit Knight,"When Lost Legion enters the battlefield, scry 2. (Look at the top two cards of your library, then put any number of them on the bottom of your library and the rest on top in any order.)"
Lotleth Giant,{6}{B},Creature â€” Zombie Giant,"Undergrowth â€” When Lotleth Giant enters the battlefield, it deals 1 damage to target opponent for each creature card in your graveyard."
Lotus Field,nan,Land,"Hexproof Lotus Field enters the battlefield tapped. When Lotus Field enters the battlefield, sacrifice two lands. {T}: Add three mana of any one color."
Lovestruck Beast,{2}{G},Creature â€” Beast Noble,Lovestruck Beast can't attack unless you control a 1/1 creature.
Loxodon Lifechanter,{5}{W},Creature â€” Elephant Cleric,"When Loxodon Lifechanter enters the battlefield, you may have your life total become the total toughness of creatures you control. {5}{W}: Loxodon Lifechanter gets +X/+X until end of turn, where X is your life total."
Loxodon Restorer,{4}{W}{W},Creature â€” Elephant Cleric,"Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.) When Loxodon Restorer enters the battlefield, you gain 4 life."
Loxodon Sergeant,{3}{W},Creature â€” Elephant Soldier,"Vigilance When Loxodon Sergeant enters the battlefield, other creatures you control gain vigilance until end of turn."
Loyal Pegasus,{W},Creature â€” Pegasus,Flying Loyal Pegasus can't attack or block alone.
Lucky Clover,{2},Artifact,"Whenever you cast an Adventure instant or sorcery spell, copy it. You may choose new targets for the copy."
Lumbering Battlement,{4}{W},Creature â€” Beast,"Vigilance When Lumbering Battlement enters the battlefield, exile any number of other nontoken creatures you control until it leaves the battlefield. Lumbering Battlement gets +2/+2 for each card exiled with it."
Luminous Bonds,{2}{W},Enchantment â€” Aura,Enchant creature Enchanted creature can't attack or block.
Macabre Mockery,{2}{B}{R},Instant,Put target creature card from an opponent's graveyard onto the battlefield under your control. It gets +2/+0 and gains haste until end of turn. Sacrifice it at the beginning of the next end step.
Mace of the Valiant,{2}{W},Artifact â€” Equipment,"Equipped creature gets +1/+1 for each charge counter on Mace of the Valiant and has vigilance. Whenever a creature enters the battlefield under your control, put a charge counter on Mace of the Valiant. Equip {3}"
Mad Ratter,{3}{R},Creature â€” Goblin,"Whenever you draw your second card each turn, create two 1/1 black Rat creature tokens."
Makeshift Battalion,{2}{W},Creature â€” Human Soldier,"Whenever Makeshift Battalion and at least two other creatures attack, put a +1/+1 counter on Makeshift Battalion."
Malevolent Noble,{1}{B},Creature â€” Human Noble,"{2}, Sacrifice an artifact or another creature: Put a +1/+1 counter on Malevolent Noble."
Mammoth Spider,{4}{G},Creature â€” Spider,Reach (This creature can block creatures with flying.)
Mana Geode,{3},Artifact,"When Mana Geode enters the battlefield, scry 1. {T}: Add one mana of any color."
Maniacal Rage,{1}{R},Enchantment â€” Aura,Enchant creature Enchanted creature gets +2/+2 and can't block.
Manifold Key,{1},Artifact,"{1}, {T}: Untap another target artifact. {3}, {T}: Target creature can't be blocked this turn."
Mantle of Tides,{U},Artifact â€” Equipment,"Equipped creature gets +1/+2. Whenever you draw your second card each turn, attach Mantle of Tides to target creature you control. Equip {3} ({3}: Attach to target creature you control. Equip only as a sorcery.)"
Maraleaf Pixie,{G}{U},Creature â€” Faerie,Flying {T}: Add {G} or {U}.
Maraleaf Rider,{1}{G},Creature â€” Elf Knight,Sacrifice a Food: Target creature blocks Maraleaf Rider this turn if able.
Marauder's Axe,{2},Artifact â€” Equipment,Equipped creature gets +2/+0. Equip {2} ({2}: Attach to target creature you control. Equip only as a sorcery.)
Marauding Raptor,{1}{R},Creature â€” Dinosaur,"Creature spells you cast cost {1} less to cast. Whenever another creature enters the battlefield under your control, Marauding Raptor deals 2 damage to it. If a Dinosaur is dealt damage this way, Marauding Raptor gets +2/+0 until end of turn."
March of the Multitudes,{X}{G}{W}{W},Instant,Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of the creature's color.) Create X 1/1 white Soldier creature tokens with lifelink.
Martyr for the Cause,{1}{W},Creature â€” Human Soldier,"When Martyr for the Cause dies, proliferate. (Choose any number of permanents and/or players, then give each another counter of each kind already there.)"
Mask of Immolation,{1}{R},Artifact â€” Equipment,"When Mask of Immolation enters the battlefield, create a 1/1 red Elemental creature token, then attach Mask of Immolation to it. Equipped creature has ""Sacrifice this creature: It deals 1 damage to any target."" Equip {2} ({2}: Attach to target creature you control. Equip only as a sorcery.)"
Mass Manipulation,{X}{X}{U}{U}{U}{U},Sorcery,Gain control of X target creatures and/or planeswalkers.
Massacre Girl,{3}{B}{B},Legendary Creature â€” Human Assassin,"Menace When Massacre Girl enters the battlefield, each other creature gets -1/-1 until end of turn. Whenever a creature dies this turn, each creature other than Massacre Girl gets -1/-1 until end of turn."
Master Splicer,{3}{W},Creature â€” Human Artificer,"When Master Splicer enters the battlefield, create a 3/3 colorless Golem artifact creature token. Golems you control get +1/+1."
Masterful Replication,{5}{U},Instant,Choose one â€” â€¢ Create two 3/3 colorless Golem artifact creature tokens. â€¢ Choose target artifact you control. Each other artifact you control becomes a copy of that artifact until end of turn.
Mausoleum Secrets,{1}{B},Instant,"Undergrowth â€” Search your library for a black card with converted mana cost less than or equal to the number of creature cards in your graveyard, reveal it, put it into your hand, then shuffle your library."
Maximize Altitude,{U},Sorcery,Target creature gets +1/+1 and gains flying until end of turn. Jump-start (You may cast this card from your graveyard by discarding a card in addition to paying its other costs. Then exile this card.)
Maximize Velocity,{R},Sorcery,Target creature gets +1/+1 and gains haste until end of turn. Jump-start (You may cast this card from your graveyard by discarding a card in addition to paying its other costs. Then exile this card.)
Mayhem Devil,{1}{B}{R},Creature â€” Devil,"Whenever a player sacrifices a permanent, Mayhem Devil deals 1 damage to any target."
Memory Theft,{2}{B},Sorcery,Target opponent reveals their hand. You choose a nonland card from it. That player discards that card. You may put a card that has an Adventure that player owns from exile into that player's graveyard.
Mephitic Vapors,{2}{B},Sorcery,"All creatures get -1/-1 until end of turn. Surveil 2. (Look at the top two cards of your library, then put any number of them into your graveyard and the rest on the top of your library in any order.)"
Merchant of the Vale,{2}{R},Creature â€” Human Peasant,"{2}{R}, Discard a card: Draw a card."
Merfolk Secretkeeper,{U},Creature â€” Merfolk Wizard,nan
Merfolk Skydiver,{G}{U},Creature â€” Merfolk Mutant,"Flying When Merfolk Skydiver enters the battlefield, put a +1/+1 counter on target creature you control. {3}{G}{U}: Proliferate. (Choose any number of permanents and/or players, then give each another counter of each kind already there.)"
Mesmeric Glare,{2}{U},Instant â€” Adventure,Counter target spell with converted mana cost 3 or less. (Then exile this card. You may cast the creature later from exile.)
Mesmerizing Benthid,{3}{U}{U},Creature â€” Octopus,"When Mesmerizing Benthid enters the battlefield, create two 0/2 blue Illusion creature tokens with ""Whenever this creature blocks a creature, that creature doesn't untap during its controller's next untap step."" Mesmerizing Benthid has hexproof as long as you control an Illusion."
Meteor Golem,{7},Artifact Creature â€” Golem,"When Meteor Golem enters the battlefield, destroy target nonland permanent an opponent controls."
Metropolis Sprite,{1}{U},Creature â€” Faerie Rogue,Flying {U}: Metropolis Sprite gets +1/-1 until end of turn.
Midnight Clock,{2}{U},Artifact,"{T}: Add {U}. {2}{U}: Put an hour counter on Midnight Clock. At the beginning of each upkeep, put an hour counter on Midnight Clock. When the twelfth hour counter is put on Midnight Clock, shuffle your hand and graveyard into your library, then draw seven cards. Exile Midnight Clock."
Midnight Reaper,{2}{B},Creature â€” Zombie Knight,"Whenever a nontoken creature you control dies, Midnight Reaper deals 1 damage to you and you draw a card."
Might of the Masses,{G},Instant,Target creature gets +1/+1 until end of turn for each creature you control.
Mind Rot,{2}{B},Sorcery,Target player discards two cards.
Ministrant of Obligation,{2}{W},Creature â€” Human Cleric,"Afterlife 2 (When this creature dies, create two 1/1 white and black Spirit creature tokens with flying.)"
Mirror March,{5}{R},Enchantment,"Whenever a nontoken creature enters the battlefield under your control, flip a coin until you lose a flip. For each flip you won, create a token that's a copy of that creature. Those tokens gain haste. Exile them at the beginning of the next end step."
Mirrormade,{1}{U}{U},Enchantment,You may have Mirrormade enter the battlefield as a copy of any artifact or enchantment on the battlefield.
Mission Briefing,{U}{U},Instant,"Surveil 2, then choose an instant or sorcery card in your graveyard. You may cast that card this turn. If that card would be put into your graveyard this turn, exile it instead. (To surveil 2, look at the top two cards of your library, then put any number of them into your graveyard and the rest on top of your library in any order.)"
Mistford River Turtle,{3}{U},Creature â€” Turtle,"Whenever Mistford River Turtle attacks, another target attacking non-Human creature can't be blocked this turn."
Mizzium Tank,{1}{R}{R},Artifact â€” Vehicle,"Trample Whenever you cast a noncreature spell, Mizzium Tank becomes an artifact creature and gets +1/+1 until end of turn. Crew 1 (Tap any number of creatures you control with total power 1 or more: This Vehicle becomes an artifact creature until end of turn.)"
Mnemonic Betrayal,{1}{U}{B},Sorcery,"Exile all cards from all opponents' graveyards. You may cast those cards this turn, and you may spend mana as though it were mana of any type to cast those spells. At the beginning of the next end step, if any of those cards remain exiled, return them to their owners' graveyards. Exile Mnemonic Betrayal."
Moat Piranhas,{1}{U},Creature â€” Fish,Defender (This creature can't attack.)
Mobilized District,nan,Land,{T}: Add {C}. {4}: Mobilized District becomes a 3/3 Citizen creature with vigilance until end of turn. It's still a land. This ability costs {1} less to activate for each legendary creature and planeswalker you control.
Molderhulk,{7}{B}{G},Creature â€” Fungus Zombie,"Undergrowth â€” This spell costs {1} less to cast for each creature card in your graveyard. When Molderhulk enters the battlefield, return target land card from your graveyard to the battlefield."
Moldervine Reclamation,{3}{B}{G},Enchantment,"Whenever a creature you control dies, you gain 1 life and draw a card."
Moment of Heroism,{1}{W},Instant,Target creature gets +2/+2 and gains lifelink until end of turn. (Damage dealt by the creature also causes its controller to gain that much life.)
Moodmark Painter,{2}{B}{B},Creature â€” Human Shaman,"Undergrowth â€” When Moodmark Painter enters the battlefield, target creature gains menace and gets +X/+0 until end of turn, where X is the number of creature cards in your graveyard. (It can't blocked except by two or more creatures.)"
Moonlit Scavengers,{5}{U},Creature â€” Merfolk Rogue,"When Moonlit Scavengers enters the battlefield, if you control an artifact or enchantment, return target creature an opponent controls to its owner's hand."
Moorland Inquisitor,{1}{W},Creature â€” Human Soldier,{2}{W}: Moorland Inquisitor gains first strike until end of turn. (It deals combat damage before creatures without first strike.)
Mortify,{1}{W}{B},Instant,Destroy target creature or enchantment.
Mountain,nan,Basic Land â€” Mountain,({T}: Add {R}.)
"Mowu, Loyal Companion",{3}{G},Legendary Creature â€” Hound,"Trample, vigilance If one or more +1/+1 counters would be put on Mowu, Loyal Companion, that many plus one +1/+1 counters are put on it instead."
"Mu Yanling, Celestial Wind",{4}{U}{U},Legendary Planeswalker â€” Yanling,"[+1]: Until your next turn, up to one target creature gets -5/-0. [âˆ’3]: Return up to two target creatures to their owners' hands. [âˆ’7]: Creatures you control with flying get +5/+5 until end of turn."
"Mu Yanling, Sky Dancer",{1}{U}{U},Legendary Planeswalker â€” Yanling,"[+2]: Until your next turn, up to one target creature gets -2/-0 and loses flying. [âˆ’3]: Create a 4/4 blue Elemental Bird creature token with flying. [âˆ’8]: You get an emblem with ""Islands you control have '{T}: Draw a card.'"""
Murder,{1}{B}{B},Instant,Destroy target creature.
Murderous Rider,{1}{B}{B},Creature â€” Zombie Knight,"Lifelink When Murderous Rider dies, put it on the bottom of its owner's library."
Murmuring Mystic,{3}{U},Creature â€” Human Wizard,"Whenever you cast an instant or sorcery spell, create a 1/1 blue Bird Illusion creature token with flying."
Muse Drake,{3}{U},Creature â€” Drake,"Flying When Muse Drake enters the battlefield, draw a card."
Mysterious Pathlighter,{2}{W},Creature â€” Faerie,Flying Each creature you control that has an Adventure enters the battlefield with an additional +1/+1 counter on it. (It doesn't need to have gone on the adventure first.)
Mystic Forge,{4},Artifact,"You may look at the top card of your library any time. You may cast the top card of your library if it's an artifact card or a colorless nonland card. {T}, Pay 1 life: Exile the top card of your library."
Mystic Sanctuary,nan,Land â€” Island,"({T}: Add {U}.) Mystic Sanctuary enters the battlefield tapped unless you control three or more other Islands. When Mystic Sanctuary enters the battlefield untapped, you may put target instant or sorcery card from your graveyard on top of your library."
Mystical Dispute,{2}{U},Instant,This spell costs {2} less to cast if it targets a blue spell. Counter target spell unless its controller pays {3}.
Naga Eternal,{2}{U},Creature â€” Zombie Naga,nan
Nahiri's Stoneblades,{1}{R},Instant,Up to two target creatures each get +2/+0 until end of turn.
"Nahiri, Storm of Stone",{2}{R/W}{R/W},Legendary Planeswalker â€” Nahiri,"As long as it's your turn, creatures you control have first strike and equip abilities you activate cost {1} less to activate. âˆ’X: Nahiri, Storm of Stone deals X damage to target tapped creature."
Narcomoeba,{1}{U},Creature â€” Illusion,"Flying When Narcomoeba is put into your graveyard from your library, you may put it onto the battlefield."
Narset's Reversal,{U}{U},Instant,"Copy target instant or sorcery spell, then return it to its owner's hand. You may choose new targets for the copy."
"Narset, Parter of Veils",{1}{U}{U},Legendary Planeswalker â€” Narset,"Each opponent can't draw more than one card each turn. [âˆ’2]: Look at the top four cards of your library. You may reveal a noncreature, nonland card from among them and put it into your hand. Put the rest on the bottom of your library in a random order."
Natural End,{2}{G},Instant,Destroy target artifact or enchantment. You gain 3 life.
Necrotic Wound,{B},Instant,"Undergrowth â€” Target creature gets -X/-X until end of turn, where X is the number of creature cards in your graveyard. If that creature would die this turn, exile it instead."
Negate,{1}{U},Instant,Counter target noncreature spell.
"Neheb, Dreadhorde Champion",{2}{R}{R},Legendary Creature â€” Zombie Minotaur Warrior,"Trample Whenever Neheb, Dreadhorde Champion deals combat damage to a player or planeswalker, you may discard any number of cards. If you do, draw that many cards and add that much {R}. Until end of turn, you don't lose this mana as steps and phases end."
Neoform,{G}{U},Sorcery,"As an additional cost to cast this spell, sacrifice a creature. Search your library for a creature card with converted mana cost equal to 1 plus the sacrificed creature's converted mana cost, put that card onto the battlefield with an additional +1/+1 counter on it, then shuffle your library."
Netcaster Spider,{2}{G},Creature â€” Spider,"Reach (This creature can block creatures with flying.) Whenever Netcaster Spider blocks a creature with flying, Netcaster Spider gets +2/+0 until end of turn."
Never Happened,{2}{B},Sorcery,Target opponent reveals their hand. You choose a nonland card from that player's graveyard or hand and exile it.
New Horizons,{2}{G},Enchantment â€” Aura,"Enchant land When New Horizons enters the battlefield, put a +1/+1 counter on target creature you control. Enchanted land has ""{T}: Add two mana of any one color."""
"Nicol Bolas, Dragon-God",{U}{B}{B}{B}{R},Legendary Planeswalker â€” Bolas,"Nicol Bolas, Dragon-God has all loyalty abilities of all other planeswalkers on the battlefield. [+1]: You draw a card. Each opponent exiles a card from their hand or a permanent they control. [âˆ’3]: Destroy target creature or planeswalker. [âˆ’8]: Each opponent who doesn't control a legendary creature or planeswalker loses the game."
Nightpack Ambusher,{2}{G}{G},Creature â€” Wolf,"Flash Other Wolves and Werewolves you control get +1/+1. At the beginning of your end step, if you didn't cast a spell this turn, create a 2/2 green Wolf creature token."
Nightveil Predator,{U}{U}{B}{B},Creature â€” Vampire,"Flying, deathtouch Hexproof (This creature can't be the target of spells or abilities your opponents control.)"
Nightveil Sprite,{1}{U},Creature â€” Faerie Rogue,"Flying Whenever Nightveil Sprite attacks, surveil 1. (Look at the top card of your library. You may put that card into your graveyard.)"
Nikya of the Old Ways,{3}{R}{G},Legendary Creature â€” Centaur Druid,"You can't cast noncreature spells. Whenever you tap a land for mana, add one mana of any type that land produced."
Nimble Birdsticker,{2}{R},Creature â€” Goblin,Reach (This creature can block creatures with flying.)
Nissa's Triumph,{G}{G},Sorcery,"Search your library for up to two basic Forest cards. If you control a Nissa planeswalker, instead search your library for up to three land cards. Reveal those cards, put them into your hand, then shuffle your library."
"Nissa, Who Shakes the World",{3}{G}{G},Legendary Planeswalker â€” Nissa,"Whenever you tap a Forest for mana, add an additional {G}. [+1]: Put three +1/+1 counters on up to one target noncreature land you control. Untap it. It becomes a 0/0 Elemental creature with vigilance and haste that's still a land. [âˆ’8]: You get an emblem with ""Lands you control have indestructible."" Search your library for any number of Forest cards, put them onto the battlefield tapped, then shuffle your library."
Niv-Mizzet Reborn,{W}{U}{B}{R}{G},Legendary Creature â€” Dragon Avatar,"Flying When Niv-Mizzet Reborn enters the battlefield, reveal the top ten cards of your library. For each color pair, choose a card that's exactly those colors from among them. Put the chosen cards into your hand and the rest on the bottom of your library in a random order."
"Niv-Mizzet, Parun",{U}{U}{U}{R}{R}{R},Legendary Creature â€” Dragon Wizard,"This spell can't be countered. Flying Whenever you draw a card, Niv-Mizzet, Parun deals 1 damage to any target. Whenever a player casts an instant or sorcery spell, you draw a card."
No Escape,{2}{U},Instant,"Counter target creature or planeswalker spell. If that spell is countered this way, exile it instead of putting it into its owner's graveyard. Scry 1."
Notion Rain,{1}{U}{B},Sorcery,"Surveil 2, then draw two cards. Notion Rain deals 2 damage to you. (To surveil 2, look at the top two cards of your library, then put any number of them into your graveyard and the rest on top of your library in any order.)"
Noxious Grasp,{1}{B},Instant,Destroy target creature or planeswalker that's green or white. You gain 1 life.
Noxious Groodion,{2}{B},Creature â€” Beast,Deathtouch
Nullhide Ferox,{2}{G}{G},Creature â€” Beast,"Hexproof You can't cast noncreature spells. {2}: Nullhide Ferox loses all abilities until end of turn. Any player may activate this ability. If a spell or ability an opponent controls causes you to discard Nullhide Ferox, put it onto the battlefield instead of putting it into your graveyard."
Oaken Boon,{3}{G},Sorcery â€” Adventure,Put two +1/+1 counters on target creature. (Then exile this card. You may cast the creature later from exile.)
Oakenform,{2}{G},Enchantment â€” Aura,Enchant creature Enchanted creature gets +3/+3.
Oakhame Adversary,{3}{G},Creature â€” Elf Warrior,"This spell costs {2} less to cast if an opponent controls a green permanent. Deathtouch Whenever Oakhame Adversary deals combat damage to a player, draw a card."
Oakhame Ranger,{G/W}{G/W}{G/W}{G/W},Creature â€” Elf Knight,{T}: Creatures you control get +1/+1 until end of turn.
Oath of Kaya,{1}{W}{B},Legendary Enchantment,"When Oath of Kaya enters the battlefield, it deals 3 damage to any target and you gain 3 life. Whenever an opponent attacks a planeswalker you control with one or more creatures, Oath of Kaya deals 2 damage to that player and you gain 2 life."
Oathsworn Knight,{1}{B}{B},Creature â€” Human Knight,"Oathsworn Knight enters the battlefield with four +1/+1 counters on it. Oathsworn Knight attacks each combat if able. If damage would be dealt to Oathsworn Knight while it has a +1/+1 counter on it, prevent that damage and remove a +1/+1 counter from it."
Ob Nixilis's Cruelty,{2}{B},Instant,"Target creature gets -5/-5 until end of turn. If that creature would die this turn, exile it instead."
"Ob Nixilis, the Hate-Twisted",{3}{B}{B},Legendary Planeswalker â€” Nixilis,"Whenever an opponent draws a card, Ob Nixilis, the Hate-Twisted deals 1 damage to that player. [âˆ’2]: Destroy target creature. Its controller draws two cards."
Ochran Assassin,{1}{B}{G},Creature â€” Elf Assassin,Deathtouch All creatures able to block Ochran Assassin do so.
Octoprophet,{3}{U},Creature â€” Octopus,"When Octoprophet enters the battlefield, scry 2. (Look at the top two cards of your library, then put any number of them on the bottom of your library and the rest on top in any order.)"
Ogre Errant,{3}{R},Creature â€” Ogre Knight,"Whenever Ogre Errant attacks, another target attacking Knight gains menace until end of turn. (It can't be blocked except by two or more creatures.)"
Ogre Siegebreaker,{2}{B}{R},Creature â€” Ogre Berserker,{2}{B}{R}: Destroy target creature that was dealt damage this turn.
Oko's Accomplices,{2}{U},Creature â€” Faerie,Flying
Oko's Hospitality,{3}{G}{U},Instant,"Creatures you control have base power and toughness 3/3 until end of turn. You may search your library and/or graveyard for a card named Oko, the Trickster, reveal it, and put it into your hand. If you search your library this way, shuffle it."
"Oko, Thief of Crowns",{1}{G}{U},Legendary Planeswalker â€” Oko,"[+2]: Create a Food token. (It's an artifact with ""{2}, {T}, Sacrifice this artifact: You gain 3 life."") [+1]: Target artifact or creature loses all abilities and becomes a green Elk creature with base power and toughness 3/3. [âˆ’5]: Exchange control of target artifact or creature you control and target creature an opponent controls with power 3 or less."
